Habitaciones,Area_parqeo,Area_total,Valor_Miles,Clasificacion
4,5.33,166,617400,3
4,10.11,166,487200,2
4,6.29,166,516600,2
4,6.92,166,627900,3
4,5.04,178,781200,2
5,7.56,178,835800,4
4,9.45,178,760200,3
5,4.82,178,795900,4
4,5.68,178,682500,3
3,13.98,178,554400,3
4,13.15,178,621600,3
4,6.68,152,672000,3
4,4.56,152,625800,3
5,5.39,152,732900,3
4,5.1,152,777000,4
4,4.69,152,640500,3
5,2.87,152,764400,3
4,5.03,156,653100,3
4,4.38,156,611100,3
5,4.08,126,699300,1
5,8.61,126,636300,3
5,6.62,126,726600,3
4,4.56,170,732900,3
5,4.45,170,690900,3
4,7.43,147,506100,2
5,3.11,147,888300,4
5,3.81,147,1018500,4
3,10.87,186,474600,2
4,10.97,186,512400,2
3,18.06,186,472500,2
4,14.66,186,512400,2
3,23.09,186,420000,2
3,17.27,186,455700,1
3,23.98,186,405300,2
3,16.03,186,470400,2
4,9.38,186,590100,3
3,29.55,186,497700,2
4,9.47,186,525000,2
3,13.51,164,489300,2
4,9.69,164,602700,3
3,17.92,164,451500,2
4,10.5,164,483000,2
4,9.71,174,560700,3
4,21.46,174,455700,2
4,9.93,174,577500,3
4,7.6,174,632100,3
6,4.14,174,940800,4
6,3.13,174,789600,4
5,6.36,174,663600,3
5,3.92,174,980700,3
4,3.76,174,661500,3
3,11.65,174,510300,2
5,5.25,174,665700,3
6,2.47,174,875700,4
6,3.95,174,1014300,4
4,8.05,174,609000,3
4,10.88,174,504000,2
4,9.54,174,527100,2
5,4.73,174,661500,3
4,6.36,166,497700,2
4,7.37,166,489300,2
4,11.38,166,462000,2
4,12.4,166,422100,2
4,11.22,166,466200,2
4,5.19,166,497700,2
3,12.5,191,369600,2
3,18.46,191,388500,2
4,9.16,191,510300,2
4,10.15,191,430500,2
4,9.52,191,514500,2
4,6.56,191,550200,3
4,5.9,191,512400,2
4,3.59,191,520800,2
4,3.53,191,621600,3
6,3.54,191,898800,4
4,6.57,164,459900,2
3,9.25,164,438900,2
5,3.11,159,924000,4
5,7.79,130,756000,3
4,6.9,130,632100,3
5,9.59,130,709800,3
5,7.26,130,905100,4
6,5.91,130,1024800,4
5,11.25,130,651000,3
5,8.1,130,766500,3
3,10.45,130,478800,2
5,14.79,130,644700,3
5,3.16,130,913500,4
3,13.65,186,434700,2
3,13,186,443100,2
4,6.59,186,529200,2
4,7.73,186,512400,2
5,6.58,186,739200,3
4,3.53,176,680400,3
4,2.98,176,672000,3
5,6.05,176,697200,3
4,4.16,176,695100,3
4,7.19,176,611100,3
4,4.85,149,737100,3
5,3.76,149,953400,4
4,4.59,149,743400,3
5,3.01,149,966000,4
5,7.85,153,676200,3
4,8.23,153,462000,2
4,12.93,182,422100,2
4,7.14,166,487200,2
4,7.6,166,468300,2
4,9.51,166,520800,2
4,3.33,192,598500,3
5,3.56,192,783300,4
4,4.7,192,585900,3
4,8.58,160,501900,2
4,10.4,160,455700,2
4,6.27,160,600600,3
4,7.39,160,569100,3
3,15.84,160,426300,2
4,4.97,148,472500,2
5,4.74,148,609000,3
4,6.07,148,520800,2
4,9.5,161,462000,2
4,8.67,161,554400,3
4,4.86,161,695100,3
5,6.93,184,758100,3
4,8.93,184,596400,3
5,6.47,184,701400,3
4,7.53,184,592200,3
4,4.54,184,478800,2
3,9.97,184,426300,2
2,12.64,184,338100,1
4,5.98,184,464100,2
4,11.72,184,407400,2
4,7.9,184,453600,2
4,9.28,184,499800,2
3,11.5,184,340200,1
3,18.33,184,373800,2
3,15.94,184,415800,2
4,10.36,184,485100,2
4,12.73,184,441000,2
4,7.2,196,499800,2
4,6.87,196,485100,2
4,7.7,196,428400,2
3,11.74,196,388500,2
4,6.12,196,525000,2
4,5.08,196,516600,2
4,6.15,196,483000,2
4,12.79,196,466200,2
3,9.97,169,405300,2
4,7.34,169,474600,2
4,9.09,169,415800,2
3,12.43,169,359100,2
4,7.83,169,407400,2
4,5.68,202,466200,2
4,6.75,202,434700,2
4,8.01,202,443100,2
3,9.8,202,409500,2
3,10.56,202,388500,2
4,8.51,202,432600,2
3,9.74,202,399000,2
3,9.29,202,392700,2
5,5.49,155,686700,3
4,8.65,159,346500,1
4,7.18,176,501900,2
4,4.61,176,655200,3
4,10.53,188,367500,2
3,12.67,188,361200,2
4,6.36,179,485100,2
4,5.99,170,514500,2
4,5.89,197,558600,3
4,5.98,197,480900,2
4,5.49,183,506100,2
3,7.79,183,390600,2
4,4.5,170,632100,3
3,8.05,220,382200,2
3,5.57,220,432600,2
4,17.6,202,373800,4
4,13.27,202,455700,2
4,11.48,202,476700,2
4,12.67,202,474600,2
4,7.79,202,525000,2
4,14.19,202,417900,2
3,10.19,202,436800,2
3,14.64,202,352800,1
1,7.12,202,577500,3
2,14,202,459900,2
1,13.33,202,485100,2
2,34.77,202,289800,1
2,37.97,202,289800,1
5,13.44,202,315000,1
4,23.24,202,291900,1
4,21.24,202,279300,1
4,23.69,202,275100,1
4,21.78,202,214200,1
4,17.21,202,218400,1
4,21.08,202,228900,1
3,23.6,202,237300,1
3,24.56,202,258300,1
2,30.63,202,184800,1
3,30.81,202,151200,1
2,28.28,202,220500,1
3,31.99,202,155400,1
2,30.62,202,214200,1
3,20.85,202,241500,1
3,17.11,202,317100,1
4,18.76,202,487200,2
3,25.68,202,203700,1
4,15.17,202,289800,1
3,16.35,202,266700,1
4,17.12,202,275100,1
4,19.37,202,262500,1
3,19.92,202,178500,1
3,30.59,202,105000,1
3,29.97,202,132300,1
3,26.77,202,117600,1
4,20.32,202,151200,1
4,20.31,202,254100,1
3,19.77,202,174300,1
3,27.38,202,178500,1
3,22.98,202,105000,1
2,23.34,202,249900,1
3,12.13,202,585900,3
3,26.4,202,361200,2
4,19.78,202,577500,3
3,10.11,202,315000,1
4,21.22,202,361200,2
2,34.37,202,375900,2
3,20.08,202,342300,1
2,36.98,202,147000,1
4,29.05,202,151200,3
4,25.79,202,157500,1
3,26.64,202,218400,3
3,20.62,202,184800,1
4,22.74,202,176400,1
4,15.02,202,350700,1
4,15.7,202,298200,1
3,14.1,202,436800,2
4,23.29,202,281400,1
3,17.16,202,245700,1
3,24.39,202,174300,1
3,15.69,202,214200,1
4,14.52,202,228900,3
4,21.52,202,231000,1
4,24.08,202,199500,1
4,17.64,202,304500,1
4,19.69,202,296100,1
4,12.03,202,338100,1
4,16.22,202,300300,1
4,15.17,202,245700,1
4,23.27,202,281400,1
4,18.05,202,201600,3
4,26.45,202,182700,1
3,34.02,202,176400,1
3,22.88,202,268800,1
3,22.11,202,220500,1
4,19.52,202,359100,2
4,16.59,202,386400,2
4,18.85,202,323400,1
3,23.79,202,226800,1
4,23.98,202,247800,1
4,17.79,202,312900,1
4,16.44,202,264600,3
4,18.13,202,296100,1
4,19.31,202,273000,1
4,17.44,202,281400,1
4,17.73,202,319200,1
4,17.27,202,338100,1
5,16.74,202,373800,2
4,18.71,202,312900,1
4,18.13,202,296100,1
3,19.01,202,266700,1
3,16.94,202,283500,1
4,16.23,202,312900,1
4,14.7,202,420000,2
4,16.42,202,344400,1
4,14.65,202,371700,2
4,13.99,202,409500,2
4,10.29,202,424200,2
4,13.22,202,449400,2
3,14.13,202,417900,2
3,17.15,202,399000,2
4,21.32,202,401100,1
3,18.13,202,401100,2
3,14.76,202,422100,2
4,16.29,202,417900,2
4,12.87,202,411600,2
4,14.36,202,487200,2
4,11.66,202,625800,3
3,18.14,202,289800,1
4,24.1,202,279300,1
4,18.68,202,350700,2
3,24.91,202,252000,1
4,18.03,202,306600,1
4,13.11,202,449400,2
4,10.74,202,483000,2
4,7.74,202,497700,2
5,7.01,202,525000,3
3,10.42,202,457800,2
3,13.34,202,432600,2
4,10.58,202,445200,2
4,14.98,202,401100,2
3,11.45,202,432600,2
3,18.06,201,319200,1
3,23.97,201,147000,1
3,29.68,201,170100,1
3,18.07,201,285600,1
3,13.35,201,422100,2
3,12.01,192,457800,2
3,13.59,192,514500,2
3,17.6,192,485100,2
3,21.14,192,413700,2
3,14.1,192,384300,2
4,12.92,192,445200,2
3,15.1,192,367500,2
4,14.33,192,352800,1
4,9.67,210,470400,2
4,9.08,210,432600,2
4,5.64,210,501900,2
4,6.48,210,462000,2
4,7.88,210,249900,1
